forward 2 | Horizontal: 2, Depth: 0 (0)
forward 3 | Horizontal: 996, Depth: 566 (563736)
down 6    | Horizontal: 996, Depth: 572 (569712)
down 1    | Horizontal: 996, Depth: 573 (570708)
forward 3 | Horizontal: 999, Depth: 573 (572427)
down 4    | Horizontal: 999, Depth: 577 (576423)
up 6      | Horizontal: 999, Depth: 571 (570429)
up 5      | Horizontal: 999, Depth: 566 (565434)
up 7      | Horizontal: 999, Depth: 559 (558441)
forward 5 | Horizontal: 1004, Depth: 559 (561236)
down 4    | Horizontal: 1004, Depth: 563 (565252)
forward 7 | Horizontal: 1011, Depth: 563 (569193)
up 1      | Horizontal: 1011, Depth: 562 (568182)
down 4    | Horizontal: 1011, Depth: 566 (572226)
forward 4 | Horizontal: 1015, Depth: 566 (574490)
down 2    | Horizontal: 1015, Depth: 568 (576520)
down 6    | Horizontal: 1015, Depth: 574 (582610)
forward 1 | Horizontal: 1016, Depth: 574 (583184)
up 3      | Horizontal: 1016, Depth: 571 (580136)
up 8      | Horizontal: 1016, Depth: 563 (572008)
forward 6 | Horizontal: 1022, Depth: 563 (575386)
forward 6 | Horizontal: 1028, Depth: 563 (578764)
down 5    | Horizontal: 1028, Depth: 568 (583904)
forward 7 | Horizontal: 1035, Depth: 568 (587880)
down 6    | Horizontal: 1035, Depth: 574 (594090)
down 8    | Horizontal: 1035, Depth: 582 (602370)
forward 6 | Horizontal: 1041, Depth: 582 (605862)
down 6    | Horizontal: 1041, Depth: 588 (612108)
forward 3 | Horizontal: 1044, Depth: 588 (613872)
forward 5 | Horizontal: 1049, Depth: 588 (616812)
down 9    | Horizontal: 1049, Depth: 597 (626253)
down 5    | Horizontal: 1049, Depth: 602 (631498)
up 4      | Horizontal: 1049, Depth: 598 (627302)
down 5    | Horizontal: 1049, Depth: 603 (632547)
down 1    | Horizontal: 1049, Depth: 604 (633596)
forward 1 | Horizontal: 1050, Depth: 604 (634200)
forward 5 | Horizontal: 1055, Depth: 604 (637220)
down 2    | Horizontal: 1055, Depth: 606 (639330)
forward 5 | Horizontal: 1060, Depth: 606 (642360)
forward 2 | Horizontal: 1062, Depth: 606 (643572)
forward 5 | Horizontal: 1067, Depth: 606 (646602)
up 3      | Horizontal: 1067, Depth: 603 (643401)
forward 5 | Horizontal: 1072, Depth: 603 (646416)
up 8      | Horizontal: 1072, Depth: 595 (637840)
forward 9 | Horizontal: 1081, Depth: 595 (643195)
forward 3 | Horizontal: 1084, Depth: 595 (644980)
down 2    | Horizontal: 1084, Depth: 597 (647148)
up 2      | Horizontal: 1084, Depth: 595 (644980)
forward 7 | Horizontal: 1091, Depth: 595 (649145)
down 5    | Horizontal: 1091, Depth: 600 (654600)
up 1      | Horizontal: 1091, Depth: 599 (653509)
down 3    | Horizontal: 1091, Depth: 602 (656782)
down 7    | Horizontal: 1091, Depth: 609 (664419)
up 2      | Horizontal: 1091, Depth: 607 (662237)
forward 8 | Horizontal: 1099, Depth: 607 (667093)
forward 6 | Horizontal: 1105, Depth: 607 (670735)
forward 1 | Horizontal: 1106, Depth: 607 (671342)
forward 6 | Horizontal: 1112, Depth: 607 (674984)
forward 6 | Horizontal: 1118, Depth: 607 (678626)
down 5    | Horizontal: 1118, Depth: 612 (684216)
forward 4 | Horizontal: 1122, Depth: 612 (686664)
down 5    | Horizontal: 1122, Depth: 617 (692274)
forward 9 | Horizontal: 1131, Depth: 617 (697827)
forward 7 | Horizontal: 1138, Depth: 617 (702146)
down 7    | Horizontal: 1138, Depth: 624 (710112)
down 7    | Horizontal: 1138, Depth: 631 (718078)
down 9    | Horizontal: 1138, Depth: 640 (728320)
forward 4 | Horizontal: 1142, Depth: 640 (730880)
down 4    | Horizontal: 1142, Depth: 644 (735448)
forward 3 | Horizontal: 1145, Depth: 644 (737380)
down 6    | Horizontal: 1145, Depth: 650 (744250)
forward 5 | Horizontal: 1150, Depth: 650 (747500)
down 9    | Horizontal: 1150, Depth: 659 (757850)
forward 6 | Horizontal: 1156, Depth: 659 (761804)
up 7      | Horizontal: 1156, Depth: 652 (753712)
down 3    | Horizontal: 1156, Depth: 655 (757180)
up 4      | Horizontal: 1156, Depth: 651 (752556)
up 4      | Horizontal: 1156, Depth: 647 (747932)
down 1    | Horizontal: 1156, Depth: 648 (749088)
down 2    | Horizontal: 1156, Depth: 650 (751400)
up 5      | Horizontal: 1156, Depth: 645 (745620)
forward 6 | Horizontal: 1162, Depth: 645 (749490)
forward 2 | Horizontal: 1164, Depth: 645 (750780)
down 7    | Horizontal: 1164, Depth: 652 (758928)
up 6      | Horizontal: 1164, Depth: 646 (751944)
up 3      | Horizontal: 1164, Depth: 643 (748452)
down 8    | Horizontal: 1164, Depth: 651 (757764)
forward 1 | Horizontal: 1165, Depth: 651 (758415)
down 3    | Horizontal: 1165, Depth: 654 (761910)
up 9      | Horizontal: 1165, Depth: 645 (751425)
down 2    | Horizontal: 1165, Depth: 647 (753755)
forward 6 | Horizontal: 1171, Depth: 647 (757637)
forward 1 | Horizontal: 1172, Depth: 647 (758284)
forward 4 | Horizontal: 1176, Depth: 647 (760872)
up 1      | Horizontal: 1176, Depth: 646 (759696)
down 8    | Horizontal: 1176, Depth: 654 (769104)
down 2    | Horizontal: 1176, Depth: 656 (771456)
down 9    | Horizontal: 1176, Depth: 665 (782040)
down 5    | Horizontal: 1176, Depth: 670 (787920)
forward 3 | Horizontal: 1179, Depth: 670 (789930)
down 1    | Horizontal: 1179, Depth: 671 (791109)
down 6    | Horizontal: 1179, Depth: 677 (798183)
down 5    | Horizontal: 1179, Depth: 682 (804078)
down 3    | Horizontal: 1179, Depth: 685 (807615)
forward 1 | Horizontal: 1180, Depth: 685 (808300)
forward 9 | Horizontal: 1189, Depth: 685 (814465)
up 2      | Horizontal: 1189, Depth: 683 (812087)
down 3    | Horizontal: 1189, Depth: 686 (815654)
down 3    | Horizontal: 1189, Depth: 689 (819221)
down 9    | Horizontal: 1189, Depth: 698 (829922)
down 7    | Horizontal: 1189, Depth: 705 (838245)
forward 6 | Horizontal: 1195, Depth: 705 (842475)
forward 8 | Horizontal: 1203, Depth: 705 (848115)
forward 4 | Horizontal: 1207, Depth: 705 (850935)
up 7      | Horizontal: 1207, Depth: 698 (842486)
down 2    | Horizontal: 1207, Depth: 700 (844900)
forward 3 | Horizontal: 1210, Depth: 700 (847000)
forward 1 | Horizontal: 1211, Depth: 700 (847700)
up 4      | Horizontal: 1211, Depth: 696 (842856)
forward 8 | Horizontal: 1219, Depth: 696 (848424)
up 9      | Horizontal: 1219, Depth: 687 (837453)
forward 8 | Horizontal: 1227, Depth: 687 (842949)
forward 2 | Horizontal: 1229, Depth: 687 (844323)
down 5    | Horizontal: 1229, Depth: 692 (850468)
forward 2 | Horizontal: 1231, Depth: 692 (851852)
down 6    | Horizontal: 1231, Depth: 698 (859238)
down 6    | Horizontal: 1231, Depth: 704 (866624)
down 4    | Horizontal: 1231, Depth: 708 (871548)
forward 8 | Horizontal: 1239, Depth: 708 (877212)
down 6    | Horizontal: 1239, Depth: 714 (884646)
forward 2 | Horizontal: 1241, Depth: 714 (886074)
forward 8 | Horizontal: 1249, Depth: 714 (891786)
down 7    | Horizontal: 1249, Depth: 721 (900529)
down 6    | Horizontal: 1249, Depth: 727 (908023)
forward 2 | Horizontal: 1251, Depth: 727 (909477)
down 1    | Horizontal: 1251, Depth: 728 (910728)
down 8    | Horizontal: 1251, Depth: 736 (920736)
forward 2 | Horizontal: 1253, Depth: 736 (922208)
forward 9 | Horizontal: 1262, Depth: 736 (928832)
up 6      | Horizontal: 1262, Depth: 730 (921260)
forward 6 | Horizontal: 1268, Depth: 730 (925640)
down 3    | Horizontal: 1268, Depth: 733 (929444)
down 2    | Horizontal: 1268, Depth: 735 (931980)
up 5      | Horizontal: 1268, Depth: 730 (925640)
up 6      | Horizontal: 1268, Depth: 724 (918032)
down 6    | Horizontal: 1268, Depth: 730 (925640)
up 7      | Horizontal: 1268, Depth: 723 (916764)
forward 5 | Horizontal: 1273, Depth: 723 (920379)
forward 7 | Horizontal: 1280, Depth: 723 (925440)
down 1    | Horizontal: 1280, Depth: 724 (926720)
forward 7 | Horizontal: 1287, Depth: 724 (931788)
forward 9 | Horizontal: 1296, Depth: 724 (938304)
down 3    | Horizontal: 1296, Depth: 727 (942192)
forward 4 | Horizontal: 1300, Depth: 727 (945100)
forward 5 | Horizontal: 1305, Depth: 727 (948735)
down 1    | Horizontal: 1305, Depth: 728 (950040)
up 3      | Horizontal: 1305, Depth: 725 (946125)
forward 2 | Horizontal: 1307, Depth: 725 (947575)
up 5      | Horizontal: 1307, Depth: 720 (941040)
forward 2 | Horizontal: 1309, Depth: 720 (942480)
forward 1 | Horizontal: 1310, Depth: 720 (943200)
down 5    | Horizontal: 1310, Depth: 725 (949750)
down 4    | Horizontal: 1310, Depth: 729 (954990)
down 8    | Horizontal: 1310, Depth: 737 (965470)
up 8      | Horizontal: 1310, Depth: 729 (954990)
forward 3 | Horizontal: 1313, Depth: 729 (957177)
down 3    | Horizontal: 1313, Depth: 732 (961116)
forward 4 | Horizontal: 1317, Depth: 732 (964044)
down 6    | Horizontal: 1317, Depth: 738 (971946)
up 8      | Horizontal: 1317, Depth: 730 (961410)
down 5    | Horizontal: 1317, Depth: 735 (967995)
up 2      | Horizontal: 1317, Depth: 733 (965361)
down 1    | Horizontal: 1317, Depth: 734 (966678)
up 3      | Horizontal: 1317, Depth: 731 (962727)
forward 8 | Horizontal: 1325, Depth: 731 (968575)
up 6      | Horizontal: 1325, Depth: 725 (960625)
forward 9 | Horizontal: 1334, Depth: 725 (967150)
up 9      | Horizontal: 1334, Depth: 716 (955144)
down 5    | Horizontal: 1334, Depth: 721 (961814)
forward 2 | Horizontal: 1336, Depth: 721 (963256)
forward 9 | Horizontal: 1345, Depth: 721 (969745)
up 6      | Horizontal: 1345, Depth: 715 (961675)
forward 1 | Horizontal: 1346, Depth: 715 (962390)
down 2    | Horizontal: 1346, Depth: 717 (965082)
forward 4 | Horizontal: 1350, Depth: 717 (967950)
forward 4 | Horizontal: 1354, Depth: 717 (970818)
forward 1 | Horizontal: 1355, Depth: 717 (971535)
forward 5 | Horizontal: 1360, Depth: 717 (975120)
forward 1 | Horizontal: 1361, Depth: 717 (975837)
forward 4 | Horizontal: 1365, Depth: 717 (978705)
down 5    | Horizontal: 1365, Depth: 722 (985530)
down 1    | Horizontal: 1365, Depth: 723 (986895)
down 2    | Horizontal: 1365, Depth: 725 (989625)
down 2    | Horizontal: 1365, Depth: 727 (992355)
forward 7 | Horizontal: 1372, Depth: 727 (997444)
down 7    | Horizontal: 1372, Depth: 734 (1007048)
down 7    | Horizontal: 1372, Depth: 741 (1016652)
down 4    | Horizontal: 1372, Depth: 745 (1022140)
down 7    | Horizontal: 1372, Depth: 752 (1031744)
down 4    | Horizontal: 1372, Depth: 756 (1037232)
down 3    | Horizontal: 1372, Depth: 759 (1041348)
up 7      | Horizontal: 1372, Depth: 752 (1031744)
up 1      | Horizontal: 1372, Depth: 751 (1030372)
forward 2 | Horizontal: 1374, Depth: 751 (1031874)
forward 3 | Horizontal: 1377, Depth: 751 (1034127)
down 4    | Horizontal: 1377, Depth: 755 (1039635)
down 5    | Horizontal: 1377, Depth: 760 (1046520)
forward 9 | Horizontal: 1386, Depth: 760 (1053360)
up 7      | Horizontal: 1386, Depth: 753 (1043658)
forward 6 | Horizontal: 1392, Depth: 753 (1048176)
down 1    | Horizontal: 1392, Depth: 754 (1049568)
forward 6 | Horizontal: 1398, Depth: 754 (1054092)
forward 6 | Horizontal: 1404, Depth: 754 (1058616)
forward 8 | Horizontal: 1412, Depth: 754 (1064648)
down 3    | Horizontal: 1412, Depth: 757 (1068884)
forward 2 | Horizontal: 1414, Depth: 757 (1070398)
down 6    | Horizontal: 1414, Depth: 763 (1078882)
forward 9 | Horizontal: 1423, Depth: 763 (1085749)
up 6      | Horizontal: 1423, Depth: 757 (1077211)
up 6      | Horizontal: 1423, Depth: 751 (1068673)
forward 7 | Horizontal: 1430, Depth: 751 (1073930)
down 5    | Horizontal: 1430, Depth: 756 (1081080)
down 6    | Horizontal: 1430, Depth: 762 (1089660)
up 3      | Horizontal: 1430, Depth: 759 (1085370)
down 5    | Horizontal: 1430, Depth: 764 (1092520)
up 4      | Horizontal: 1430, Depth: 760 (1086800)
forward 3 | Horizontal: 1433, Depth: 760 (1089080)
down 7    | Horizontal: 1433, Depth: 767 (1099111)
forward 9 | Horizontal: 1442, Depth: 767 (1106014)
up 1      | Horizontal: 1442, Depth: 766 (1104572)
down 1    | Horizontal: 1442, Depth: 767 (1106014)
up 6      | Horizontal: 1442, Depth: 761 (1097362)
down 3    | Horizontal: 1442, Depth: 764 (1101688)
up 2      | Horizontal: 1442, Depth: 762 (1098804)
down 5    | Horizontal: 1442, Depth: 767 (1106014)
forward 3 | Horizontal: 1445, Depth: 767 (1108315)
forward 6 | Horizontal: 1451, Depth: 767 (1112917)
down 9    | Horizontal: 1451, Depth: 776 (1125976)
down 4    | Horizontal: 1451, Depth: 780 (1131780)
forward 7 | Horizontal: 1458, Depth: 780 (1137240)
down 1    | Horizontal: 1458, Depth: 781 (1138698)
up 1      | Horizontal: 1458, Depth: 780 (1137240)
forward 3 | Horizontal: 1461, Depth: 780 (1139580)
forward 5 | Horizontal: 1466, Depth: 780 (1143480)
up 7      | Horizontal: 1466, Depth: 773 (1133218)
down 3    | Horizontal: 1466, Depth: 776 (1137616)
up 9      | Horizontal: 1466, Depth: 767 (1124422)
up 9      | Horizontal: 1466, Depth: 758 (1111228)
down 4    | Horizontal: 1466, Depth: 762 (1117092)
up 4      | Horizontal: 1466, Depth: 758 (1111228)
forward 8 | Horizontal: 1474, Depth: 758 (1117292)
up 9      | Horizontal: 1474, Depth: 749 (1104026)
down 8    | Horizontal: 1474, Depth: 757 (1115818)
forward 6 | Horizontal: 1480, Depth: 757 (1120360)
forward 4 | Horizontal: 1484, Depth: 757 (1123388)
forward 9 | Horizontal: 1493, Depth: 757 (1130201)
forward 8 | Horizontal: 1501, Depth: 757 (1136257)
down 2    | Horizontal: 1501, Depth: 759 (1139259)
forward 3 | Horizontal: 1504, Depth: 759 (1141536)
forward 2 | Horizontal: 1506, Depth: 759 (1143054)
down 3    | Horizontal: 1506, Depth: 762 (1147572)
up 1      | Horizontal: 1506, Depth: 761 (1146066)
forward 6 | Horizontal: 1512, Depth: 761 (1150632)
down 3    | Horizontal: 1512, Depth: 764 (1155168)
down 7    | Horizontal: 1512, Depth: 771 (1165752)
down 3    | Horizontal: 1512, Depth: 774 (1170288)
down 5    | Horizontal: 1512, Depth: 779 (1177848)
down 9    | Horizontal: 1512, Depth: 788 (1191456)
up 9      | Horizontal: 1512, Depth: 779 (1177848)
forward 8 | Horizontal: 1520, Depth: 779 (1184080)
forward 6 | Horizontal: 1526, Depth: 779 (1188754)
down 8    | Horizontal: 1526, Depth: 787 (1200962)
forward 3 | Horizontal: 1529, Depth: 787 (1203323)
down 4    | Horizontal: 1529, Depth: 791 (1209439)
down 2    | Horizontal: 1529, Depth: 793 (1212497)
down 9    | Horizontal: 1529, Depth: 802 (1226258)
forward 4 | Horizontal: 1533, Depth: 802 (1229466)
forward 2 | Horizontal: 1535, Depth: 802 (1231070)
up 4      | Horizontal: 1535, Depth: 798 (1224930)
forward 1 | Horizontal: 1536, Depth: 798 (1225728)
up 8      | Horizontal: 1536, Depth: 790 (1213440)
up 1      | Horizontal: 1536, Depth: 789 (1211904)
down 4    | Horizontal: 1536, Depth: 793 (1218048)
up 2      | Horizontal: 1536, Depth: 791 (1214976)
down 1    | Horizontal: 1536, Depth: 792 (1216512)
up 7      | Horizontal: 1536, Depth: 785 (1205760)
down 2    | Horizontal: 1536, Depth: 787 (1208832)
down 4    | Horizontal: 1536, Depth: 791 (1214976)
up 4      | Horizontal: 1536, Depth: 787 (1208832)
forward 2 | Horizontal: 1538, Depth: 787 (1210406)
down 3    | Horizontal: 1538, Depth: 790 (1215020)
forward 2 | Horizontal: 1540, Depth: 790 (1216600)
forward 3 | Horizontal: 1543, Depth: 790 (1218970)
down 5    | Horizontal: 1543, Depth: 795 (1226685)
forward 9 | Horizontal: 1552, Depth: 795 (1233840)
forward 7 | Horizontal: 1559, Depth: 795 (1239405)
down 1    | Horizontal: 1559, Depth: 796 (1240964)
up 3      | Horizontal: 1559, Depth: 793 (1236287)
down 3    | Horizontal: 1559, Depth: 796 (1240964)
forward 3 | Horizontal: 1562, Depth: 796 (1243352)
down 6    | Horizontal: 1562, Depth: 802 (1252724)
forward 5 | Horizontal: 1567, Depth: 802 (1256734)
up 3      | Horizontal: 1567, Depth: 799 (1252033)
up 3      | Horizontal: 1567, Depth: 796 (1247332)
up 1      | Horizontal: 1567, Depth: 795 (1245765)
forward 7 | Horizontal: 1574, Depth: 795 (1251330)
forward 1 | Horizontal: 1575, Depth: 795 (1252125)
forward 2 | Horizontal: 1577, Depth: 795 (1253715)
forward 2 | Horizontal: 1579, Depth: 795 (1255305)
down 4    | Horizontal: 1579, Depth: 799 (1261621)
up 7      | Horizontal: 1579, Depth: 792 (1250568)
forward 1 | Horizontal: 1580, Depth: 792 (1251360)
forward 1 | Horizontal: 1581, Depth: 792 (1252152)
forward 6 | Horizontal: 1587, Depth: 792 (1256904)
down 8    | Horizontal: 1587, Depth: 800 (1269600)
up 8      | Horizontal: 1587, Depth: 792 (1256904)
down 8    | Horizontal: 1587, Depth: 800 (1269600)
down 4    | Horizontal: 1587, Depth: 804 (1275948)
down 6    | Horizontal: 1587, Depth: 810 (1285470)
forward 8 | Horizontal: 1595, Depth: 810 (1291950)
forward 4 | Horizontal: 1599, Depth: 810 (1295190)
forward 5 | Horizontal: 1604, Depth: 810 (1299240)
down 2    | Horizontal: 1604, Depth: 812 (1302448)
down 3    | Horizontal: 1604, Depth: 815 (1307260)
forward 7 | Horizontal: 1611, Depth: 815 (1312965)
down 6    | Horizontal: 1611, Depth: 821 (1322631)
forward 4 | Horizontal: 1615, Depth: 821 (1325915)
forward 1 | Horizontal: 1616, Depth: 821 (1326736)
up 7      | Horizontal: 1616, Depth: 814 (1315424)
up 5      | Horizontal: 1616, Depth: 809 (1307344)
up 2      | Horizontal: 1616, Depth: 807 (1304112)
forward 1 | Horizontal: 1617, Depth: 807 (1304919)
forward 8 | Horizontal: 1625, Depth: 807 (1311375)
forward 2 | Horizontal: 1627, Depth: 807 (1312989)
up 9      | Horizontal: 1627, Depth: 798 (1298346)
forward 4 | Horizontal: 1631, Depth: 798 (1301538)
forward 5 | Horizontal: 1636, Depth: 798 (1305528)
down 2    | Horizontal: 1636, Depth: 800 (1308800)
forward 5 | Horizontal: 1641, Depth: 800 (1312800)
forward 7 | Horizontal: 1648, Depth: 800 (1318400)
down 3    | Horizontal: 1648, Depth: 803 (1323344)
forward 1 | Horizontal: 1649, Depth: 803 (1324147)
down 3    | Horizontal: 1649, Depth: 806 (1329094)
up 5      | Horizontal: 1649, Depth: 801 (1320849)
up 2      | Horizontal: 1649, Depth: 799 (1317551)
up 2      | Horizontal: 1649, Depth: 797 (1314253)
up 2      | Horizontal: 1649, Depth: 795 (1310955)
forward 4 | Horizontal: 1653, Depth: 795 (1314135)
forward 4 | Horizontal: 1657, Depth: 795 (1317315)
forward 8 | Horizontal: 1665, Depth: 795 (1323675)
forward 2 | Horizontal: 1667, Depth: 795 (1325265)
down 3    | Horizontal: 1667, Depth: 798 (1330266)
up 7      | Horizontal: 1667, Depth: 791 (1318597)
down 4    | Horizontal: 1667, Depth: 795 (1325265)
down 2    | Horizontal: 1667, Depth: 797 (1328599)
down 7    | Horizontal: 1667, Depth: 804 (1340268)
forward 2 | Horizontal: 1669, Depth: 804 (1341876)
down 2    | Horizontal: 1669, Depth: 806 (1345214)
forward 7 | Horizontal: 1676, Depth: 806 (1350856)
up 9      | Horizontal: 1676, Depth: 797 (1335772)
up 7      | Horizontal: 1676, Depth: 790 (1324040)
forward 7 | Horizontal: 1683, Depth: 790 (1329570)
forward 7 | Horizontal: 1690, Depth: 790 (1335100)
down 3    | Horizontal: 1690, Depth: 793 (1340170)
down 4    | Horizontal: 1690, Depth: 797 (1346930)
up 4      | Horizontal: 1690, Depth: 793 (1340170)
down 2    | Horizontal: 1690, Depth: 795 (1343550)
down 8    | Horizontal: 1690, Depth: 803 (1357070)
forward 4 | Horizontal: 1694, Depth: 803 (1360282)
down 1    | Horizontal: 1694, Depth: 804 (1361976)
up 6      | Horizontal: 1694, Depth: 798 (1351812)
forward 4 | Horizontal: 1698, Depth: 798 (1355004)
down 2    | Horizontal: 1698, Depth: 800 (1358400)
up 8      | Horizontal: 1698, Depth: 792 (1344816)
down 1    | Horizontal: 1698, Depth: 793 (1346514)
down 8    | Horizontal: 1698, Depth: 801 (1360098)
down 6    | Horizontal: 1698, Depth: 807 (1370286)
up 9      | Horizontal: 1698, Depth: 798 (1355004)
forward 4 | Horizontal: 1702, Depth: 798 (1358196)
up 1      | Horizontal: 1702, Depth: 797 (1356494)
down 2    | Horizontal: 1702, Depth: 799 (1359898)
down 9    | Horizontal: 1702, Depth: 808 (1375216)
down 7    | Horizontal: 1702, Depth: 815 (1387130)
down 4    | Horizontal: 1702, Depth: 819 (1393938)
down 8    | Horizontal: 1702, Depth: 827 (1407554)
down 8    | Horizontal: 1702, Depth: 835 (1421170)
up 1      | Horizontal: 1702, Depth: 834 (1419468)
down 5    | Horizontal: 1702, Depth: 839 (1427978)
up 5      | Horizontal: 1702, Depth: 834 (1419468)
down 7    | Horizontal: 1702, Depth: 841 (1431382)
up 7      | Horizontal: 1702, Depth: 834 (1419468)
forward 5 | Horizontal: 1707, Depth: 834 (1423638)
down 3    | Horizontal: 1707, Depth: 837 (1428759)
forward 7 | Horizontal: 1714, Depth: 837 (1434618)
up 5      | Horizontal: 1714, Depth: 832 (1426048)
down 3    | Horizontal: 1714, Depth: 835 (1431190)
forward 9 | Horizontal: 1723, Depth: 835 (1438705)
up 5      | Horizontal: 1723, Depth: 830 (1430090)
down 7    | Horizontal: 1723, Depth: 837 (1442151)
forward 8 | Horizontal: 1731, Depth: 837 (1448847)
forward 8 | Horizontal: 1739, Depth: 837 (1455543)
down 2    | Horizontal: 1739, Depth: 839 (1459021)
forward 7 | Horizontal: 1746, Depth: 839 (1464894)
forward 8 | Horizontal: 1754, Depth: 839 (1471606)
down 4    | Horizontal: 1754, Depth: 843 (1478622)
up 7      | Horizontal: 1754, Depth: 836 (1466344)
down 2    | Horizontal: 1754, Depth: 838 (1469852)
up 7      | Horizontal: 1754, Depth: 831 (1457574)
forward 5 | Horizontal: 1759, Depth: 831 (1461729)
down 1    | Horizontal: 1759, Depth: 832 (1463488)
down 3    | Horizontal: 1759, Depth: 835 (1468765)
forward 9 | Horizontal: 1768, Depth: 835 (1476280)
up 4      | Horizontal: 1768, Depth: 831 (1469208)
forward 6 | Horizontal: 1774, Depth: 831 (1474194)
forward 4 | Horizontal: 1778, Depth: 831 (1477518)
down 5    | Horizontal: 1778, Depth: 836 (1486408)
down 7    | Horizontal: 1778, Depth: 843 (1498854)
forward 2 | Horizontal: 1780, Depth: 843 (1500540)
forward 4 | Horizontal: 1784, Depth: 843 (1503912)
down 2    | Horizontal: 1784, Depth: 845 (1507480)
forward 1 | Horizontal: 1785, Depth: 845 (1508325)
down 5    | Horizontal: 1785, Depth: 850 (1517250)
up 2      | Horizontal: 1785, Depth: 848 (1513680)
down 8    | Horizontal: 1785, Depth: 856 (1527960)
down 1    | Horizontal: 1785, Depth: 857 (1529745)
down 4    | Horizontal: 1785, Depth: 861 (1536885)
down 8    | Horizontal: 1785, Depth: 869 (1551165)
down 6    | Horizontal: 1785, Depth: 875 (1561875)
forward 9 | Horizontal: 1794, Depth: 875 (1569750)
forward 2 | Horizontal: 1796, Depth: 875 (1571500)
forward 6 | Horizontal: 1802, Depth: 875 (1576750)
forward 4 | Horizontal: 1806, Depth: 875 (1580250)
down 1    | Horizontal: 1806, Depth: 876 (1582056)
forward 8 | Horizontal: 1814, Depth: 876 (1589064)
up 4      | Horizontal: 1814, Depth: 872 (1581808)
forward 6 | Horizontal: 1820, Depth: 872 (1587040)
down 4    | Horizontal: 1820, Depth: 876 (1594320)
forward 4 | Horizontal: 1824, Depth: 876 (1597824)
forward 3 | Horizontal: 1827, Depth: 876 (1600452)
forward 6 | Horizontal: 1833, Depth: 876 (1605708)
forward 9 | Horizontal: 1842, Depth: 876 (1613592)
forward 8 | Horizontal: 1850, Depth: 876 (1620600)
down 1    | Horizontal: 1850, Depth: 877 (1622450)
forward 5 | Horizontal: 1855, Depth: 877 (1626835)
down 8    | Horizontal: 1855, Depth: 885 (1641675)
forward 7 | Horizontal: 1862, Depth: 885 (1647870)
up 1      | Horizontal: 1862, Depth: 884 (1646008)
down 3    | Horizontal: 1862, Depth: 887 (1651594)
up 6      | Horizontal: 1862, Depth: 881 (1640422)
forward 5 | Horizontal: 1867, Depth: 881 (1644827)
forward 8 | Horizontal: 1875, Depth: 881 (1651875)
forward 8 | Horizontal: 1883, Depth: 881 (1658923)
forward 5 | Horizontal: 1888, Depth: 881 (1663328)
forward 5 | Horizontal: 1893, Depth: 881 (1667733)
forward 1 | Horizontal: 1894, Depth: 881 (1668614)
up 9      | Horizontal: 1894, Depth: 872 (1651568)
forward 7 | Horizontal: 1901, Depth: 872 (1657672)
up 3      | Horizontal: 1901, Depth: 869 (1651969)
down 2    | Horizontal: 1901, Depth: 871 (1655771)
down 4    | Horizontal: 1901, Depth: 875 (1663375)
forward 6 | Horizontal: 1907, Depth: 875 (1668625)
up 2      | Horizontal: 1907, Depth: 873 (1664811)
forward 5 | Horizontal: 1912, Depth: 873 (1669176)
up 8      | Horizontal: 1912, Depth: 865 (1653880)
forward 8 | Horizontal: 1920, Depth: 865 (1660800)
forward 2 | Horizontal: 1922, Depth: 865 (1662530)
forward 6 | Horizontal: 1928, Depth: 865 (1667720)
forward 3 | Horizontal: 1931, Depth: 865 (1670315)
up 4      | Horizontal: 1931, Depth: 861 (1662591)
forward 3 | Horizontal: 1934, Depth: 861 (1665174)
forward 6 | Horizontal: 1940, Depth: 861 (1670340)
