forward 2 | Horizontal: 2, Depth: 0, Aim: 0 (0)
forward 5 | Horizontal: 765, Depth: 177861, Aim: 465 (136063665)
down 4    | Horizontal: 765, Depth: 177861, Aim: 469 (136063665)
down 8    | Horizontal: 765, Depth: 177861, Aim: 477 (136063665)
down 3    | Horizontal: 765, Depth: 177861, Aim: 480 (136063665)
forward 4 | Horizontal: 769, Depth: 179781, Aim: 480 (138251589)
down 3    | Horizontal: 769, Depth: 179781, Aim: 483 (138251589)
up 7      | Horizontal: 769, Depth: 179781, Aim: 476 (138251589)
down 6    | Horizontal: 769, Depth: 179781, Aim: 482 (138251589)
forward 9 | Horizontal: 778, Depth: 184119, Aim: 482 (143244582)
up 8      | Horizontal: 778, Depth: 184119, Aim: 474 (143244582)
forward 2 | Horizontal: 780, Depth: 185067, Aim: 474 (144352260)
forward 5 | Horizontal: 785, Depth: 187437, Aim: 474 (147138045)
down 6    | Horizontal: 785, Depth: 187437, Aim: 480 (147138045)
up 4      | Horizontal: 785, Depth: 187437, Aim: 476 (147138045)
forward 8 | Horizontal: 793, Depth: 191245, Aim: 476 (151657285)
forward 5 | Horizontal: 798, Depth: 193625, Aim: 476 (154512750)
down 6    | Horizontal: 798, Depth: 193625, Aim: 482 (154512750)
forward 2 | Horizontal: 800, Depth: 194589, Aim: 482 (155671200)
down 7    | Horizontal: 800, Depth: 194589, Aim: 489 (155671200)
forward 3 | Horizontal: 803, Depth: 196056, Aim: 489 (157432968)
forward 1 | Horizontal: 804, Depth: 196545, Aim: 489 (158022180)
forward 6 | Horizontal: 810, Depth: 199479, Aim: 489 (161577990)
down 9    | Horizontal: 810, Depth: 199479, Aim: 498 (161577990)
up 6      | Horizontal: 810, Depth: 199479, Aim: 492 (161577990)
down 4    | Horizontal: 810, Depth: 199479, Aim: 496 (161577990)
down 2    | Horizontal: 810, Depth: 199479, Aim: 498 (161577990)
up 8      | Horizontal: 810, Depth: 199479, Aim: 490 (161577990)
forward 4 | Horizontal: 814, Depth: 201439, Aim: 490 (163971346)
down 8    | Horizontal: 814, Depth: 201439, Aim: 498 (163971346)
forward 8 | Horizontal: 822, Depth: 205423, Aim: 498 (168857706)
up 9      | Horizontal: 822, Depth: 205423, Aim: 489 (168857706)
forward 7 | Horizontal: 829, Depth: 208846, Aim: 489 (173133334)
down 6    | Horizontal: 829, Depth: 208846, Aim: 495 (173133334)
up 9      | Horizontal: 829, Depth: 208846, Aim: 486 (173133334)
down 4    | Horizontal: 829, Depth: 208846, Aim: 490 (173133334)
up 6      | Horizontal: 829, Depth: 208846, Aim: 484 (173133334)
down 4    | Horizontal: 829, Depth: 208846, Aim: 488 (173133334)
down 3    | Horizontal: 829, Depth: 208846, Aim: 491 (173133334)
up 7      | Horizontal: 829, Depth: 208846, Aim: 484 (173133334)
up 4      | Horizontal: 829, Depth: 208846, Aim: 480 (173133334)
forward 5 | Horizontal: 834, Depth: 211246, Aim: 480 (176179164)
up 9      | Horizontal: 834, Depth: 211246, Aim: 471 (176179164)
down 9    | Horizontal: 834, Depth: 211246, Aim: 480 (176179164)
up 6      | Horizontal: 834, Depth: 211246, Aim: 474 (176179164)
down 3    | Horizontal: 834, Depth: 211246, Aim: 477 (176179164)
forward 8 | Horizontal: 842, Depth: 215062, Aim: 477 (181082204)
down 9    | Horizontal: 842, Depth: 215062, Aim: 486 (181082204)
forward 7 | Horizontal: 849, Depth: 218464, Aim: 486 (185475936)
up 3      | Horizontal: 849, Depth: 218464, Aim: 483 (185475936)
up 9      | Horizontal: 849, Depth: 218464, Aim: 474 (185475936)
forward 8 | Horizontal: 857, Depth: 222256, Aim: 474 (190473392)
down 3    | Horizontal: 857, Depth: 222256, Aim: 477 (190473392)
forward 3 | Horizontal: 860, Depth: 223687, Aim: 477 (192370820)
forward 5 | Horizontal: 865, Depth: 226072, Aim: 477 (195552280)
down 6    | Horizontal: 865, Depth: 226072, Aim: 483 (195552280)
forward 3 | Horizontal: 868, Depth: 227521, Aim: 483 (197488228)
down 4    | Horizontal: 868, Depth: 227521, Aim: 487 (197488228)
up 6      | Horizontal: 868, Depth: 227521, Aim: 481 (197488228)
forward 3 | Horizontal: 871, Depth: 228964, Aim: 481 (199427644)
forward 7 | Horizontal: 878, Depth: 232331, Aim: 481 (203986618)
down 1    | Horizontal: 878, Depth: 232331, Aim: 482 (203986618)
down 6    | Horizontal: 878, Depth: 232331, Aim: 488 (203986618)
down 4    | Horizontal: 878, Depth: 232331, Aim: 492 (203986618)
forward 6 | Horizontal: 884, Depth: 235283, Aim: 492 (207990172)
up 6      | Horizontal: 884, Depth: 235283, Aim: 486 (207990172)
down 5    | Horizontal: 884, Depth: 235283, Aim: 491 (207990172)
down 6    | Horizontal: 884, Depth: 235283, Aim: 497 (207990172)
down 4    | Horizontal: 884, Depth: 235283, Aim: 501 (207990172)
up 2      | Horizontal: 884, Depth: 235283, Aim: 499 (207990172)
down 7    | Horizontal: 884, Depth: 235283, Aim: 506 (207990172)
down 9    | Horizontal: 884, Depth: 235283, Aim: 515 (207990172)
down 2    | Horizontal: 884, Depth: 235283, Aim: 517 (207990172)
down 6    | Horizontal: 884, Depth: 235283, Aim: 523 (207990172)
forward 3 | Horizontal: 887, Depth: 236852, Aim: 523 (210087724)
forward 4 | Horizontal: 891, Depth: 238944, Aim: 523 (212899104)
down 5    | Horizontal: 891, Depth: 238944, Aim: 528 (212899104)
up 5      | Horizontal: 891, Depth: 238944, Aim: 523 (212899104)
down 5    | Horizontal: 891, Depth: 238944, Aim: 528 (212899104)
forward 3 | Horizontal: 894, Depth: 240528, Aim: 528 (215032032)
forward 6 | Horizontal: 900, Depth: 243696, Aim: 528 (219326400)
down 4    | Horizontal: 900, Depth: 243696, Aim: 532 (219326400)
down 7    | Horizontal: 900, Depth: 243696, Aim: 539 (219326400)
up 2      | Horizontal: 900, Depth: 243696, Aim: 537 (219326400)
forward 7 | Horizontal: 907, Depth: 247455, Aim: 537 (224441685)
down 7    | Horizontal: 907, Depth: 247455, Aim: 544 (224441685)
up 6      | Horizontal: 907, Depth: 247455, Aim: 538 (224441685)
up 3      | Horizontal: 907, Depth: 247455, Aim: 535 (224441685)
forward 9 | Horizontal: 916, Depth: 252270, Aim: 535 (231079320)
forward 8 | Horizontal: 924, Depth: 256550, Aim: 535 (237052200)
up 6      | Horizontal: 924, Depth: 256550, Aim: 529 (237052200)
forward 2 | Horizontal: 926, Depth: 257608, Aim: 529 (238545008)
down 2    | Horizontal: 926, Depth: 257608, Aim: 531 (238545008)
forward 8 | Horizontal: 934, Depth: 261856, Aim: 531 (244573504)
forward 4 | Horizontal: 938, Depth: 263980, Aim: 531 (247613240)
up 6      | Horizontal: 938, Depth: 263980, Aim: 525 (247613240)
forward 6 | Horizontal: 944, Depth: 267130, Aim: 525 (252170720)
down 8    | Horizontal: 944, Depth: 267130, Aim: 533 (252170720)
up 3      | Horizontal: 944, Depth: 267130, Aim: 530 (252170720)
up 5      | Horizontal: 944, Depth: 267130, Aim: 525 (252170720)
forward 6 | Horizontal: 950, Depth: 270280, Aim: 525 (256766000)
up 8      | Horizontal: 950, Depth: 270280, Aim: 517 (256766000)
down 1    | Horizontal: 950, Depth: 270280, Aim: 518 (256766000)
down 4    | Horizontal: 950, Depth: 270280, Aim: 522 (256766000)
up 9      | Horizontal: 950, Depth: 270280, Aim: 513 (256766000)
forward 6 | Horizontal: 956, Depth: 273358, Aim: 513 (261330248)
up 5      | Horizontal: 956, Depth: 273358, Aim: 508 (261330248)
down 6    | Horizontal: 956, Depth: 273358, Aim: 514 (261330248)
down 8    | Horizontal: 956, Depth: 273358, Aim: 522 (261330248)
down 9    | Horizontal: 956, Depth: 273358, Aim: 531 (261330248)
forward 5 | Horizontal: 961, Depth: 276013, Aim: 531 (265248493)
up 3      | Horizontal: 961, Depth: 276013, Aim: 528 (265248493)
down 7    | Horizontal: 961, Depth: 276013, Aim: 535 (265248493)
forward 3 | Horizontal: 964, Depth: 277618, Aim: 535 (267623752)
forward 6 | Horizontal: 970, Depth: 280828, Aim: 535 (272403160)
down 3    | Horizontal: 970, Depth: 280828, Aim: 538 (272403160)
down 1    | Horizontal: 970, Depth: 280828, Aim: 539 (272403160)
down 9    | Horizontal: 970, Depth: 280828, Aim: 548 (272403160)
up 9      | Horizontal: 970, Depth: 280828, Aim: 539 (272403160)
down 4    | Horizontal: 970, Depth: 280828, Aim: 543 (272403160)
down 7    | Horizontal: 970, Depth: 280828, Aim: 550 (272403160)
forward 2 | Horizontal: 972, Depth: 281928, Aim: 550 (274034016)
forward 4 | Horizontal: 976, Depth: 284128, Aim: 550 (277308928)
down 7    | Horizontal: 976, Depth: 284128, Aim: 557 (277308928)
forward 7 | Horizontal: 983, Depth: 288027, Aim: 557 (283130541)
up 5      | Horizontal: 983, Depth: 288027, Aim: 552 (283130541)
down 9    | Horizontal: 983, Depth: 288027, Aim: 561 (283130541)
up 7      | Horizontal: 983, Depth: 288027, Aim: 554 (283130541)
down 4    | Horizontal: 983, Depth: 288027, Aim: 558 (283130541)
forward 6 | Horizontal: 989, Depth: 291375, Aim: 558 (288169875)
down 5    | Horizontal: 989, Depth: 291375, Aim: 563 (288169875)
forward 4 | Horizontal: 993, Depth: 293627, Aim: 563 (291571611)
up 8      | Horizontal: 993, Depth: 293627, Aim: 555 (291571611)
down 4    | Horizontal: 993, Depth: 293627, Aim: 559 (291571611)
down 7    | Horizontal: 993, Depth: 293627, Aim: 566 (291571611)
forward 3 | Horizontal: 996, Depth: 295325, Aim: 566 (294143700)
down 6    | Horizontal: 996, Depth: 295325, Aim: 572 (294143700)
down 1    | Horizontal: 996, Depth: 295325, Aim: 573 (294143700)
forward 3 | Horizontal: 999, Depth: 297044, Aim: 573 (296746956)
down 4    | Horizontal: 999, Depth: 297044, Aim: 577 (296746956)
up 6      | Horizontal: 999, Depth: 297044, Aim: 571 (296746956)
up 5      | Horizontal: 999, Depth: 297044, Aim: 566 (296746956)
up 7      | Horizontal: 999, Depth: 297044, Aim: 559 (296746956)
forward 5 | Horizontal: 1004, Depth: 299839, Aim: 559 (301038356)
down 4    | Horizontal: 1004, Depth: 299839, Aim: 563 (301038356)
forward 7 | Horizontal: 1011, Depth: 303780, Aim: 563 (307121580)
up 1      | Horizontal: 1011, Depth: 303780, Aim: 562 (307121580)
down 4    | Horizontal: 1011, Depth: 303780, Aim: 566 (307121580)
forward 4 | Horizontal: 1015, Depth: 306044, Aim: 566 (310634660)
down 2    | Horizontal: 1015, Depth: 306044, Aim: 568 (310634660)
down 6    | Horizontal: 1015, Depth: 306044, Aim: 574 (310634660)
forward 1 | Horizontal: 1016, Depth: 306618, Aim: 574 (311523888)
up 3      | Horizontal: 1016, Depth: 306618, Aim: 571 (311523888)
up 8      | Horizontal: 1016, Depth: 306618, Aim: 563 (311523888)
forward 6 | Horizontal: 1022, Depth: 309996, Aim: 563 (316815912)
forward 6 | Horizontal: 1028, Depth: 313374, Aim: 563 (322148472)
down 5    | Horizontal: 1028, Depth: 313374, Aim: 568 (322148472)
forward 7 | Horizontal: 1035, Depth: 317350, Aim: 568 (328457250)
down 6    | Horizontal: 1035, Depth: 317350, Aim: 574 (328457250)
down 8    | Horizontal: 1035, Depth: 317350, Aim: 582 (328457250)
forward 6 | Horizontal: 1041, Depth: 320842, Aim: 582 (333996522)
down 6    | Horizontal: 1041, Depth: 320842, Aim: 588 (333996522)
forward 3 | Horizontal: 1044, Depth: 322606, Aim: 588 (336800664)
forward 5 | Horizontal: 1049, Depth: 325546, Aim: 588 (341497754)
down 9    | Horizontal: 1049, Depth: 325546, Aim: 597 (341497754)
down 5    | Horizontal: 1049, Depth: 325546, Aim: 602 (341497754)
up 4      | Horizontal: 1049, Depth: 325546, Aim: 598 (341497754)
down 5    | Horizontal: 1049, Depth: 325546, Aim: 603 (341497754)
down 1    | Horizontal: 1049, Depth: 325546, Aim: 604 (341497754)
forward 1 | Horizontal: 1050, Depth: 326150, Aim: 604 (342457500)
forward 5 | Horizontal: 1055, Depth: 329170, Aim: 604 (347274350)
down 2    | Horizontal: 1055, Depth: 329170, Aim: 606 (347274350)
forward 5 | Horizontal: 1060, Depth: 332200, Aim: 606 (352132000)
forward 2 | Horizontal: 1062, Depth: 333412, Aim: 606 (354083544)
forward 5 | Horizontal: 1067, Depth: 336442, Aim: 606 (358983614)
up 3      | Horizontal: 1067, Depth: 336442, Aim: 603 (358983614)
forward 5 | Horizontal: 1072, Depth: 339457, Aim: 603 (363897904)
up 8      | Horizontal: 1072, Depth: 339457, Aim: 595 (363897904)
forward 9 | Horizontal: 1081, Depth: 344812, Aim: 595 (372741772)
forward 3 | Horizontal: 1084, Depth: 346597, Aim: 595 (375711148)
down 2    | Horizontal: 1084, Depth: 346597, Aim: 597 (375711148)
up 2      | Horizontal: 1084, Depth: 346597, Aim: 595 (375711148)
forward 7 | Horizontal: 1091, Depth: 350762, Aim: 595 (382681342)
down 5    | Horizontal: 1091, Depth: 350762, Aim: 600 (382681342)
up 1      | Horizontal: 1091, Depth: 350762, Aim: 599 (382681342)
down 3    | Horizontal: 1091, Depth: 350762, Aim: 602 (382681342)
down 7    | Horizontal: 1091, Depth: 350762, Aim: 609 (382681342)
up 2      | Horizontal: 1091, Depth: 350762, Aim: 607 (382681342)
forward 8 | Horizontal: 1099, Depth: 355618, Aim: 607 (390824182)
forward 6 | Horizontal: 1105, Depth: 359260, Aim: 607 (396982300)
forward 1 | Horizontal: 1106, Depth: 359867, Aim: 607 (398012902)
forward 6 | Horizontal: 1112, Depth: 363509, Aim: 607 (404222008)
forward 6 | Horizontal: 1118, Depth: 367151, Aim: 607 (410474818)
down 5    | Horizontal: 1118, Depth: 367151, Aim: 612 (410474818)
forward 4 | Horizontal: 1122, Depth: 369599, Aim: 612 (414690078)
down 5    | Horizontal: 1122, Depth: 369599, Aim: 617 (414690078)
forward 9 | Horizontal: 1131, Depth: 375152, Aim: 617 (424296912)
forward 7 | Horizontal: 1138, Depth: 379471, Aim: 617 (431837998)
down 7    | Horizontal: 1138, Depth: 379471, Aim: 624 (431837998)
down 7    | Horizontal: 1138, Depth: 379471, Aim: 631 (431837998)
down 9    | Horizontal: 1138, Depth: 379471, Aim: 640 (431837998)
forward 4 | Horizontal: 1142, Depth: 382031, Aim: 640 (436279402)
down 4    | Horizontal: 1142, Depth: 382031, Aim: 644 (436279402)
forward 3 | Horizontal: 1145, Depth: 383963, Aim: 644 (439637635)
down 6    | Horizontal: 1145, Depth: 383963, Aim: 650 (439637635)
forward 5 | Horizontal: 1150, Depth: 387213, Aim: 650 (445294950)
down 9    | Horizontal: 1150, Depth: 387213, Aim: 659 (445294950)
forward 6 | Horizontal: 1156, Depth: 391167, Aim: 659 (452189052)
up 7      | Horizontal: 1156, Depth: 391167, Aim: 652 (452189052)
down 3    | Horizontal: 1156, Depth: 391167, Aim: 655 (452189052)
up 4      | Horizontal: 1156, Depth: 391167, Aim: 651 (452189052)
up 4      | Horizontal: 1156, Depth: 391167, Aim: 647 (452189052)
down 1    | Horizontal: 1156, Depth: 391167, Aim: 648 (452189052)
down 2    | Horizontal: 1156, Depth: 391167, Aim: 650 (452189052)
up 5      | Horizontal: 1156, Depth: 391167, Aim: 645 (452189052)
forward 6 | Horizontal: 1162, Depth: 395037, Aim: 645 (459032994)
forward 2 | Horizontal: 1164, Depth: 396327, Aim: 645 (461324628)
down 7    | Horizontal: 1164, Depth: 396327, Aim: 652 (461324628)
up 6      | Horizontal: 1164, Depth: 396327, Aim: 646 (461324628)
up 3      | Horizontal: 1164, Depth: 396327, Aim: 643 (461324628)
down 8    | Horizontal: 1164, Depth: 396327, Aim: 651 (461324628)
forward 1 | Horizontal: 1165, Depth: 396978, Aim: 651 (462479370)
down 3    | Horizontal: 1165, Depth: 396978, Aim: 654 (462479370)
up 9      | Horizontal: 1165, Depth: 396978, Aim: 645 (462479370)
down 2    | Horizontal: 1165, Depth: 396978, Aim: 647 (462479370)
forward 6 | Horizontal: 1171, Depth: 400860, Aim: 647 (469407060)
forward 1 | Horizontal: 1172, Depth: 401507, Aim: 647 (470566204)
forward 4 | Horizontal: 1176, Depth: 404095, Aim: 647 (475215720)
up 1      | Horizontal: 1176, Depth: 404095, Aim: 646 (475215720)
down 8    | Horizontal: 1176, Depth: 404095, Aim: 654 (475215720)
down 2    | Horizontal: 1176, Depth: 404095, Aim: 656 (475215720)
down 9    | Horizontal: 1176, Depth: 404095, Aim: 665 (475215720)
down 5    | Horizontal: 1176, Depth: 404095, Aim: 670 (475215720)
forward 3 | Horizontal: 1179, Depth: 406105, Aim: 670 (478797795)
down 1    | Horizontal: 1179, Depth: 406105, Aim: 671 (478797795)
down 6    | Horizontal: 1179, Depth: 406105, Aim: 677 (478797795)
down 5    | Horizontal: 1179, Depth: 406105, Aim: 682 (478797795)
down 3    | Horizontal: 1179, Depth: 406105, Aim: 685 (478797795)
forward 1 | Horizontal: 1180, Depth: 406790, Aim: 685 (480012200)
forward 9 | Horizontal: 1189, Depth: 412955, Aim: 685 (491003495)
up 2      | Horizontal: 1189, Depth: 412955, Aim: 683 (491003495)
down 3    | Horizontal: 1189, Depth: 412955, Aim: 686 (491003495)
down 3    | Horizontal: 1189, Depth: 412955, Aim: 689 (491003495)
down 9    | Horizontal: 1189, Depth: 412955, Aim: 698 (491003495)
down 7    | Horizontal: 1189, Depth: 412955, Aim: 705 (491003495)
forward 6 | Horizontal: 1195, Depth: 417185, Aim: 705 (498536075)
forward 8 | Horizontal: 1203, Depth: 422825, Aim: 705 (508658475)
forward 4 | Horizontal: 1207, Depth: 425645, Aim: 705 (513753515)
up 7      | Horizontal: 1207, Depth: 425645, Aim: 698 (513753515)
down 2    | Horizontal: 1207, Depth: 425645, Aim: 700 (513753515)
forward 3 | Horizontal: 1210, Depth: 427745, Aim: 700 (517571450)
forward 1 | Horizontal: 1211, Depth: 428445, Aim: 700 (518846895)
up 4      | Horizontal: 1211, Depth: 428445, Aim: 696 (518846895)
forward 8 | Horizontal: 1219, Depth: 434013, Aim: 696 (529061847)
up 9      | Horizontal: 1219, Depth: 434013, Aim: 687 (529061847)
forward 8 | Horizontal: 1227, Depth: 439509, Aim: 687 (539277543)
forward 2 | Horizontal: 1229, Depth: 440883, Aim: 687 (541845207)
down 5    | Horizontal: 1229, Depth: 440883, Aim: 692 (541845207)
forward 2 | Horizontal: 1231, Depth: 442267, Aim: 692 (544430677)
down 6    | Horizontal: 1231, Depth: 442267, Aim: 698 (544430677)
down 6    | Horizontal: 1231, Depth: 442267, Aim: 704 (544430677)
down 4    | Horizontal: 1231, Depth: 442267, Aim: 708 (544430677)
forward 8 | Horizontal: 1239, Depth: 447931, Aim: 708 (554986509)
down 6    | Horizontal: 1239, Depth: 447931, Aim: 714 (554986509)
forward 2 | Horizontal: 1241, Depth: 449359, Aim: 714 (557654519)
forward 8 | Horizontal: 1249, Depth: 455071, Aim: 714 (568383679)
down 7    | Horizontal: 1249, Depth: 455071, Aim: 721 (568383679)
down 6    | Horizontal: 1249, Depth: 455071, Aim: 727 (568383679)
forward 2 | Horizontal: 1251, Depth: 456525, Aim: 727 (571112775)
down 1    | Horizontal: 1251, Depth: 456525, Aim: 728 (571112775)
down 8    | Horizontal: 1251, Depth: 456525, Aim: 736 (571112775)
forward 2 | Horizontal: 1253, Depth: 457997, Aim: 736 (573870241)
forward 9 | Horizontal: 1262, Depth: 464621, Aim: 736 (586351702)
up 6      | Horizontal: 1262, Depth: 464621, Aim: 730 (586351702)
forward 6 | Horizontal: 1268, Depth: 469001, Aim: 730 (594693268)
down 3    | Horizontal: 1268, Depth: 469001, Aim: 733 (594693268)
down 2    | Horizontal: 1268, Depth: 469001, Aim: 735 (594693268)
up 5      | Horizontal: 1268, Depth: 469001, Aim: 730 (594693268)
up 6      | Horizontal: 1268, Depth: 469001, Aim: 724 (594693268)
down 6    | Horizontal: 1268, Depth: 469001, Aim: 730 (594693268)
up 7      | Horizontal: 1268, Depth: 469001, Aim: 723 (594693268)
forward 5 | Horizontal: 1273, Depth: 472616, Aim: 723 (601640168)
forward 7 | Horizontal: 1280, Depth: 477677, Aim: 723 (611426560)
down 1    | Horizontal: 1280, Depth: 477677, Aim: 724 (611426560)
forward 7 | Horizontal: 1287, Depth: 482745, Aim: 724 (621292815)
forward 9 | Horizontal: 1296, Depth: 489261, Aim: 724 (634082256)
down 3    | Horizontal: 1296, Depth: 489261, Aim: 727 (634082256)
forward 4 | Horizontal: 1300, Depth: 492169, Aim: 727 (639819700)
forward 5 | Horizontal: 1305, Depth: 495804, Aim: 727 (647024220)
down 1    | Horizontal: 1305, Depth: 495804, Aim: 728 (647024220)
up 3      | Horizontal: 1305, Depth: 495804, Aim: 725 (647024220)
forward 2 | Horizontal: 1307, Depth: 497254, Aim: 725 (649910978)
up 5      | Horizontal: 1307, Depth: 497254, Aim: 720 (649910978)
forward 2 | Horizontal: 1309, Depth: 498694, Aim: 720 (652790446)
forward 1 | Horizontal: 1310, Depth: 499414, Aim: 720 (654232340)
down 5    | Horizontal: 1310, Depth: 499414, Aim: 725 (654232340)
down 4    | Horizontal: 1310, Depth: 499414, Aim: 729 (654232340)
down 8    | Horizontal: 1310, Depth: 499414, Aim: 737 (654232340)
up 8      | Horizontal: 1310, Depth: 499414, Aim: 729 (654232340)
forward 3 | Horizontal: 1313, Depth: 501601, Aim: 729 (658602113)
down 3    | Horizontal: 1313, Depth: 501601, Aim: 732 (658602113)
forward 4 | Horizontal: 1317, Depth: 504529, Aim: 732 (664464693)
down 6    | Horizontal: 1317, Depth: 504529, Aim: 738 (664464693)
up 8      | Horizontal: 1317, Depth: 504529, Aim: 730 (664464693)
down 5    | Horizontal: 1317, Depth: 504529, Aim: 735 (664464693)
up 2      | Horizontal: 1317, Depth: 504529, Aim: 733 (664464693)
down 1    | Horizontal: 1317, Depth: 504529, Aim: 734 (664464693)
up 3      | Horizontal: 1317, Depth: 504529, Aim: 731 (664464693)
forward 8 | Horizontal: 1325, Depth: 510377, Aim: 731 (676249525)
up 6      | Horizontal: 1325, Depth: 510377, Aim: 725 (676249525)
forward 9 | Horizontal: 1334, Depth: 516902, Aim: 725 (689547268)
up 9      | Horizontal: 1334, Depth: 516902, Aim: 716 (689547268)
down 5    | Horizontal: 1334, Depth: 516902, Aim: 721 (689547268)
forward 2 | Horizontal: 1336, Depth: 518344, Aim: 721 (692507584)
forward 9 | Horizontal: 1345, Depth: 524833, Aim: 721 (705900385)
up 6      | Horizontal: 1345, Depth: 524833, Aim: 715 (705900385)
forward 1 | Horizontal: 1346, Depth: 525548, Aim: 715 (707387608)
down 2    | Horizontal: 1346, Depth: 525548, Aim: 717 (707387608)
forward 4 | Horizontal: 1350, Depth: 528416, Aim: 717 (713361600)
forward 4 | Horizontal: 1354, Depth: 531284, Aim: 717 (719358536)
forward 1 | Horizontal: 1355, Depth: 532001, Aim: 717 (720861355)
forward 5 | Horizontal: 1360, Depth: 535586, Aim: 717 (728396960)
forward 1 | Horizontal: 1361, Depth: 536303, Aim: 717 (729908383)
forward 4 | Horizontal: 1365, Depth: 539171, Aim: 717 (735968415)
down 5    | Horizontal: 1365, Depth: 539171, Aim: 722 (735968415)
down 1    | Horizontal: 1365, Depth: 539171, Aim: 723 (735968415)
down 2    | Horizontal: 1365, Depth: 539171, Aim: 725 (735968415)
down 2    | Horizontal: 1365, Depth: 539171, Aim: 727 (735968415)
forward 7 | Horizontal: 1372, Depth: 544260, Aim: 727 (746724720)
down 7    | Horizontal: 1372, Depth: 544260, Aim: 734 (746724720)
down 7    | Horizontal: 1372, Depth: 544260, Aim: 741 (746724720)
down 4    | Horizontal: 1372, Depth: 544260, Aim: 745 (746724720)
down 7    | Horizontal: 1372, Depth: 544260, Aim: 752 (746724720)
down 4    | Horizontal: 1372, Depth: 544260, Aim: 756 (746724720)
down 3    | Horizontal: 1372, Depth: 544260, Aim: 759 (746724720)
up 7      | Horizontal: 1372, Depth: 544260, Aim: 752 (746724720)
up 1      | Horizontal: 1372, Depth: 544260, Aim: 751 (746724720)
forward 2 | Horizontal: 1374, Depth: 545762, Aim: 751 (749876988)
forward 3 | Horizontal: 1377, Depth: 548015, Aim: 751 (754616655)
down 4    | Horizontal: 1377, Depth: 548015, Aim: 755 (754616655)
down 5    | Horizontal: 1377, Depth: 548015, Aim: 760 (754616655)
forward 9 | Horizontal: 1386, Depth: 554855, Aim: 760 (769029030)
up 7      | Horizontal: 1386, Depth: 554855, Aim: 753 (769029030)
forward 6 | Horizontal: 1392, Depth: 559373, Aim: 753 (778647216)
down 1    | Horizontal: 1392, Depth: 559373, Aim: 754 (778647216)
forward 6 | Horizontal: 1398, Depth: 563897, Aim: 754 (788328006)
forward 6 | Horizontal: 1404, Depth: 568421, Aim: 754 (798063084)
forward 8 | Horizontal: 1412, Depth: 574453, Aim: 754 (811127636)
down 3    | Horizontal: 1412, Depth: 574453, Aim: 757 (811127636)
forward 2 | Horizontal: 1414, Depth: 575967, Aim: 757 (814417338)
down 6    | Horizontal: 1414, Depth: 575967, Aim: 763 (814417338)
forward 9 | Horizontal: 1423, Depth: 582834, Aim: 763 (829372782)
up 6      | Horizontal: 1423, Depth: 582834, Aim: 757 (829372782)
up 6      | Horizontal: 1423, Depth: 582834, Aim: 751 (829372782)
forward 7 | Horizontal: 1430, Depth: 588091, Aim: 751 (840970130)
down 5    | Horizontal: 1430, Depth: 588091, Aim: 756 (840970130)
down 6    | Horizontal: 1430, Depth: 588091, Aim: 762 (840970130)
up 3      | Horizontal: 1430, Depth: 588091, Aim: 759 (840970130)
down 5    | Horizontal: 1430, Depth: 588091, Aim: 764 (840970130)
up 4      | Horizontal: 1430, Depth: 588091, Aim: 760 (840970130)
forward 3 | Horizontal: 1433, Depth: 590371, Aim: 760 (846001643)
down 7    | Horizontal: 1433, Depth: 590371, Aim: 767 (846001643)
forward 9 | Horizontal: 1442, Depth: 597274, Aim: 767 (861269108)
up 1      | Horizontal: 1442, Depth: 597274, Aim: 766 (861269108)
down 1    | Horizontal: 1442, Depth: 597274, Aim: 767 (861269108)
up 6      | Horizontal: 1442, Depth: 597274, Aim: 761 (861269108)
down 3    | Horizontal: 1442, Depth: 597274, Aim: 764 (861269108)
up 2      | Horizontal: 1442, Depth: 597274, Aim: 762 (861269108)
down 5    | Horizontal: 1442, Depth: 597274, Aim: 767 (861269108)
forward 3 | Horizontal: 1445, Depth: 599575, Aim: 767 (866385875)
forward 6 | Horizontal: 1451, Depth: 604177, Aim: 767 (876660827)
down 9    | Horizontal: 1451, Depth: 604177, Aim: 776 (876660827)
down 4    | Horizontal: 1451, Depth: 604177, Aim: 780 (876660827)
forward 7 | Horizontal: 1458, Depth: 609637, Aim: 780 (888850746)
down 1    | Horizontal: 1458, Depth: 609637, Aim: 781 (888850746)
up 1      | Horizontal: 1458, Depth: 609637, Aim: 780 (888850746)
forward 3 | Horizontal: 1461, Depth: 611977, Aim: 780 (894098397)
forward 5 | Horizontal: 1466, Depth: 615877, Aim: 780 (902875682)
up 7      | Horizontal: 1466, Depth: 615877, Aim: 773 (902875682)
down 3    | Horizontal: 1466, Depth: 615877, Aim: 776 (902875682)
up 9      | Horizontal: 1466, Depth: 615877, Aim: 767 (902875682)
up 9      | Horizontal: 1466, Depth: 615877, Aim: 758 (902875682)
down 4    | Horizontal: 1466, Depth: 615877, Aim: 762 (902875682)
up 4      | Horizontal: 1466, Depth: 615877, Aim: 758 (902875682)
forward 8 | Horizontal: 1474, Depth: 621941, Aim: 758 (916741034)
up 9      | Horizontal: 1474, Depth: 621941, Aim: 749 (916741034)
down 8    | Horizontal: 1474, Depth: 621941, Aim: 757 (916741034)
forward 6 | Horizontal: 1480, Depth: 626483, Aim: 757 (927194840)
